orderid,customername,productname,quantity,TotalRevenue
60,"Aishani Tiwari",Headphones,10,192120.9300
60,"Aishani Tiwari","Study Table",1,30071.6480
88,"Aishani Tiwari",Printer,10,140523.5000
88,"Aishani Tiwari","Badminton Racket",2,77323.4080
114,"Aishani Tiwari","Badminton Racket",6,260966.5020
114,"Aishani Tiwari","Water Purifier",8,149422.2480
114,"Aishani Tiwari",Iron,3,151624.7700
114,"Aishani Tiwari","Office Chair",8,300092.0000
152,"Aishani Tiwari","Pen Set",6,260329.4640
152,"Aishani Tiwari",Printer,9,126471.1500
152,"Aishani Tiwari","Dumbbell Set",6,80388.2400
188,"Aishani Tiwari","File Folder",1,28070.1900
188,"Aishani Tiwari","Study Table",9,338306.0400
188,"Aishani Tiwari","Mixer Grinder",4,107554.1440
188,"Aishani Tiwari","Office Chair",12,405124.2000
216,"Aishani Tiwari",Sofa,7,132353.2000
216,"Aishani Tiwari",Laptop,10,328902.3500
29,"Aradhana Basu","Study Table",3,112768.6800
29,"Aradhana Basu","Badminton Racket",1,48327.1300
29,"Aradhana Basu","Office Chair",8,270082.8000
80,"Aradhana Basu",Sofa,8,151260.8000
103,"Aradhana Basu",Marker,5,239586.8500
103,"Aradhana Basu",Fan,9,268236.2700
103,"Aradhana Basu","File Folder",6,160000.0830
103,"Aradhana Basu",Whiteboard,2,106924.5600
164,"Aradhana Basu","Mixer Grinder",11,351231.5015
164,"Aradhana Basu",Bed,9,205898.1930
